slug,title
profile-manager-create-remove-switch-firefox-profiles,"Profile Manager - Create, remove or switch Firefox profiles"
use-themes-change-look-of-firefox,Use themes to change the look of Firefox
firefox-wont-start-find-solutions,Firefox won't start - find solutions
recover-lost-or-missing-bookmarks,Recover lost or missing Bookmarks
adding-screencasts,Add screencasts to Knowledge Base articles
send-plugin-crash-reports-help-improve-firefox,Send plugin crash reports to help Mozilla improve Firefox
server-not-found-connection-problem,Server Not Found - Troubleshoot connection problems
firefox-says-its-just-updated-every-time-it-starts,Firefox says it's just updated every time it starts - how to fix
Certificate-contains-the-same-serial-number-as-another-certificate,Certificate contains the same serial number as another certificate
how-to-set-the-home-page,How to set the home page
delete-browsing-search-download-history-firefox,"Delete browsing, search and download history on Firefox"
how-contribute-article-localization,How to contribute to article localization
export-bookmarks-safari,Export bookmarks to Safari
how-download-and-install-firefox-mac,How to download and install Firefox on Mac
websites-say-cookies-are-blocked-unblock-them,Websites say cookies are blocked - Unblock them
accessibility-features-firefox,Accessibility features in Firefox - Make Firefox and web content work for all users
where-find-and-manage-downloaded-files-firefox,Where to find and manage downloaded files in Firefox
mouse-shortcuts-perform-common-tasks,Use mouse shortcuts to perform common tasks in Firefox
tabs-organize-websites-single-window,Use tabs to organize lots of websites in a single window
font-size-and-zoom-increase-size-of-web-pages,Font size and zoom - increase the size of web pages
audio-and-video-firefox,Audio and video files in Firefox
tab-preferences-and-settings,Tab preferences and settings
fix-login-issues-on-websites-require-passwords,Fix login issues on websites that require a username and password
search-contents-current-page-text-or-links,How to search the contents of the current page for text or links
use-troubleshooting-information-page-fix-firefox,Use the Troubleshooting Information page to help fix Firefox issues
keyboard-shortcuts-perform-firefox-tasks-quickly,Keyboard shortcuts - Perform common Firefox tasks quickly
get-started-firefox-overview-main-features,Get started with Firefox - An overview of the main features
firefox-does-not-work-common-fixes,Firefox does not work - Common fixes to get you back up and running
quick-fixes-if-your-firefox-slows-down,Quick fixes if your Firefox slows down
mozilla-support-rules-guidelines,Mozilla Support rules and guidelines
install-firefox-android-device-using-google-play,Install Firefox on an Android device using Google Play
find-and-install-add-ons-firefox-android,Find and install extensions on Firefox for Android
fix-bookmarks-and-history-will-not-be-functional,"Fix ""The bookmarks and history system will not be functional"" error message"
javascript-settings-for-interactive-web-pages,JavaScript settings and preferences for interactive web pages
how-do-i-restore-my-tabs-last-time,How do I restore my tabs from last time?
private-browsing-use-firefox-without-history,Private Browsing - Use Firefox without saving history
firefox-already-running-not-responding,"""Firefox is already running but is not responding"" error - How to fix"
clear-recent-searches-search-bar,Clear recent searches from the Search bar
restore-menu-bar-firefox,Restore the Menu bar in Firefox
contributor-news-resources,Contributor News & Resources
fix-problems-connecting-websites-after-updating,Fix problems connecting to websites after updating Firefox
configure-firewalls-so-firefox-can-access-internet,Configure firewalls so that Firefox can access the Internet
profiles-where-firefox-stores-user-data,"Profiles - Where Firefox stores your bookmarks, passwords and other user data"
improve-knowledge-base,Improve the Knowledge Base
writing-guide-knowledge-base-articles,Writing guide for Knowledge Base articles
pinned-tabs-keep-favorite-websites-open,Pinned Tabs - keep favorite websites open and just a click away
about-knowledge-base,About the Knowledge Base
localize-sumo-interface,How to localize the SUMO interface
how-to-use-for,"How to use ""For"" tags"
using-templates,Using Templates
how-do-i-set-sync-my-computer,How do I set up Sync on my computer?
meet-team,Meet the Team
how-do-i-turn-do-not-track-feature,How do I turn on the Do Not Track feature?
upgrade-graphics-drivers-use-hardware-acceleration,Upgrade your graphics drivers to use hardware acceleration and WebGL
disable-firefox-sync-lost-phone-or-tablet,Disable Firefox Sync on a lost phone or tablet
how-do-i-choose-what-information-sync-firefox,How do I choose what information to sync on Firefox?
ive-lost-my-firefox-sync-account-information,I've lost my Firefox Sync account information - What to do
refresh-firefox-reset-add-ons-and-settings,Refresh Firefox - reset add-ons and settings
change-default-language-firefox-android,Change the default language of Firefox for Android
use-gestures-in-firefox-android,Use gestures in Firefox for Android
how-firefox-android-use-permissions-it-requests,How does Firefox for Android use the permissions it requests?
helping-crashes,Helping with crashes
article-review-guidelines,Article review and approval guidelines
how-make-firefox-and-websites-go-full-screen,Use Firefox in Full Screen mode
how-do-i-create-screenshot-my-problem,How do I create a screenshot of my problem?
clear-your-browsing-history-and-other-personal-data,Clear your browsing history and other personal data on Firefox for Android
how-can-i-help-submitting-mobile-performance-data,How can I help by submitting mobile performance data?
remove-toolbar-has-taken-over-your-firefox-search,Remove a toolbar that has taken over your Firefox search or home page
how-do-i-share-firefox-between-people-on-computer,How do I share Firefox between people on a computer?
what-mozilla-maintenance-service,What is the Mozilla Maintenance Service?
customize-items-on-firefox-new-tab-page,Customize items on your Firefox New Tab page
how-do-i-change-desktop-view-firefox-android,How do I change to the desktop view in Firefox for Android?
technical-writing-program,Technical writing program
where-are-my-logins-stored,Where are my logins stored?
how-stay-safe-web,How to stay safe on the web
when-and-how-to-use-keywords,When and how to use keywords to improve an article's search ranking
anatomy-of-a-knowledge-base-article,Anatomy of a Knowledge Base article
create-new-knowledge-base-article,Create a new Knowledge Base article
markup-cheat-sheet,Markup cheat sheet
firefox-available-iphone-or-ipad-my-language,Is Firefox available for iPhone or iPad in my language?
how-participate-sumo-contributor-meetings,How to participate in SUMO contributor meetings
how-to-make-screenshots,How to make screenshots
mixed-content-blocking-firefox,Mixed content blocking in Firefox
using-dark-theme-firefox-android,Using Dark Theme in Firefox for Android
private-browsing-firefox-android,Private Browsing on Firefox for Android
how-do-i-quit-firefox-android,How do I quit Firefox for Android?
research-upcoming-changes-firefox,Research upcoming changes to Firefox
how-do-i-share-things-firefox-android,How do I share things from Firefox for Android?
how-does-phishing-and-malware-protection-work,How does built-in Phishing and Malware Protection work?
a-guide-to-linking-to-support-articles,A guide to linking to support articles
how-translate-sumo-kb-articles-hindi,How to Translate SUMO KB Articles in Hindi
share-your-android-device-firefox-guest-session,Share your Android device with a Firefox Guest Session
how-place-images-article,Add images and screenshots to Knowledge Base articles
secure-website-certificate,Secure website certificate
how-translate-sumo-kb-articles-bengali,How to translate SUMO KB articles in Bengali
signatures,Signatures
global-search,Global Search
quick-filter-toolbar,Quick Filter Toolbar
manual-account-configuration,Manual Account Configuration
faq-changing-imap-pop,FAQ Changing IMAP to POP
archived-messages,Archived Messages
automatic-account-configuration,Automatic Account Configuration
keyboard-shortcuts-thunderbird,Keyboard shortcuts - perform common Thunderbird tasks quickly
profiles-where-thunderbird-stores-user-data,Profiles - Where Thunderbird stores your messages and other user data
troubleshoot-mode-thunderbird,Troubleshoot Mode Thunderbird
thunderbird-and-gmail,Thunderbird and Gmail
changing-imap-pop,Changing IMAP to POP
mozilla-crash-reporter-tb,Mozilla Crash Reporter TB
creating-newsgroup-account,Creating a Newsgroup Account
thunderbird-and-hotmail,Thunderbird and Hotmail
thunderbird-and-comcast,Thunderbird and Comcast
imap-synchronization,IMAP Synchronization
cannot-receive-messages,Cannot receive messages
thunderbird-crashes,Thunderbird Crashes
updating-thunderbird,Update Thunderbird to the latest version
thunderbird-faq,Thunderbird FAQ
thunderbird-software-update-failed,Thunderbird Software Update Failed
how-disable-or-change-thunderbird-start-page,How to disable or change the Thunderbird start page
thunderbird-and-sympatico,Thunderbird and Sympatico
using-identities,Using Identities
thunderbird-add-ons-frequently-asked-questions,Thunderbird add-ons - frequently asked questions
thunderbird-and-yahoo,Thunderbird and Yahoo
cannot-send-messages,Cannot send messages
switching-thunderbird,Switching to Thunderbird
installing-thunderbird-linux,Install Thunderbird on Linux
installing-thunderbird-on-mac,Install Thunderbird on Mac
keyboard-shortcuts-searching,Keyboard Shortcuts for Searching
compacting-folders,Compacting folders
moving-thunderbird-data-to-a-new-computer,Move Thunderbird data to a new computer
names-bug-no-email-addresses-are-displayed,Names but no Email Addresses are Displayed
hyperlinks-in-messages-not-working,Hyperlinks in messages do not work
protect-your-thunderbird-passwords-primary-password,Protect your Thunderbird passwords with a Primary Password
adding-a-holiday-calendar,Adding a holiday calendar
changing-calendar-preferences,Changing calendar preferences
make-thunderbird-default-mail-client,Make Thunderbird the Default Mail Client
lightning-user-interface,Lightning User Interface
using-lightning-google-calendar,Using Thunderbird with Google Calendar
configuring-lightning,Configuring Lightning
working-events,Work with events
creating-a-new-event-or-task,Create a new event or task
exporting-and-sharing-a-calendar,Export and share a calendar
changing-date-or-time-event,Change the date or time of an event
inviting-other-people-events,Inviting Other People to Events
creating-a-recurring-event,Create a recurring event
creating-new-calendars,Create new calendars
message-list-columns,Message List Columns
vacation-response,Vacation Response
using-multiple-profiles,Use multiple profiles in Thunderbird
configuration-options-accounts,Configuration Options for Accounts
configuration-options-identity,Configuration Options for Identity
configuration-options-attachments,Configuration Options for Attachments
thunderbird-makes-unrequested-connections,Thunderbird makes unrequested connections
how-use-virtual-card-vcard,How to use a Virtual Card (vCard)
how-can-i-send-large-attachment,How can I send a large attachment?
thunderbird-and-att,Thunderbird and AT&T
config-editor,Config Editor
blocking-sender,Blocking a sender
how-use-attachments,How to Use Attachments
rebuilding-global-database,Rebuilding the Global Database
what-winmaildat-attachment,What is the winmail.dat attachment?
switching-folder-pane-view,Switching the folder pane view
how-install-and-use-another-language-dictionary-th,How to Install and Use another Language in the Dictionary on Thunderbird
glossary-terms-including-types-accounts,Glossary of Terms including types of Accounts
installing-thunderbird-windows,Install Thunderbird on Windows
open-search,Open Search
add-search-engine-open-search,Add Search Engine to Open Search
thunderbird-and-junk-spam-messages,Thunderbird and Junk / Spam Messages
filelink-large-attachments,Filelink for Large Attachments
digitally-signing-and-encrypting-messages,Digitally Signing and Encrypting Messages
new-email-address,New Email Address
thunderbirds-scam-detection,Thunderbird’s Scam Detection
using-saved-searches,Using Saved Searches
sending-and-receiving-messages-thunderbird,Send and receive messages in Thunderbird
how-customize-new-mail-sound,How to Customize the New Mail Sound
organize-your-messages-using-filters,Organize your messages with filters
how-subscribe-news-feeds-and-blogs,How to Subscribe to News Feeds and Blogs
switch-pop-imap-account,Switch from POP to IMAP account
instant-messaging-and-chat,Instant Messaging and Chat
addressing-email,Addressing an Email
how-customize-toolbars,How to Customize Toolbars
display-thunderbird-menus-and-toolbar,Display the Thunderbird menus and toolbar
ignore-threads,Ignoring threads
localization-dashboard,Localization Dashboards
about-new-tab-page,New Tab page in Firefox
l10n-guidelines-reviewing-translated-articles,L10N guidelines for reviewing translated articles
uninstall-thunderbird,Uninstall Thunderbird from your computer
how-be-sumo-locale-leader,How to be a SUMO Locale Leader
what-badge,What is a badge?
why-open-badges,Why Open Badges?
mozillas-open-badges-project,What is Mozilla's Open Badges project?
what-open-badges-infrastructure,What is the Open Badges Infrastructure?
open-badges-research,Is there Open Badges research available?
what-mozilla-badgekit,What is Mozilla BadgeKit?
why-did-we-create-mozilla-badgekit,Why did we create Mozilla BadgeKit?
what-included-badgekit,What is included in BadgeKit?
badgekit-ready-now,Is BadgeKit ready now?
badgekit-who,Who is BadgeKit for?
technical-documentation-badgekit,Where is technical documentation for BadgeKit?
what-is-a-mozilla-backpack,What is a Mozilla Backpack?
where-can-i-earn-badges,Where can I earn badges?
how-do-i-share-badges-ive-earned,How do I share the badges I've earned?
are-all-my-badges-public,Are all my badges public?
how-do-i-become-issuer,How do I become an issuer?
what-badgekit,What is BadgeKit?
who-else-issuing-open-badges,Who else is issuing Open Badges?
where-can-i-go-technical-help,Where can I go for technical help?
how-can-i-personally-display-open-badges,How can I personally display Open Badges?
organization-displayer-open-badges,How does my organization become a displayer of Open Badges?
contributors-guide-writing-good-bug,Contributors guide for writing a good bug
add-support-guidelines-contributors,Extension support guidelines for contributors
where-can-i-go-open-badges-support,Where can I go for Open Badges support?
remote-content-in-messages,Remote Content in Messages
how-reset-default-user-agent-firefox,How to reset the default user agent on Firefox
update-latest-version-firefox-android,Update to the latest version of Firefox for Android
firefox-support-troubleshooting-guide,Firefox Support troubleshooting guide
moderation-guidelines,Forum Moderation Guidelines
use-firefox-sidebar-access-bookmarks-history-synced,"Use the Firefox Sidebar to access bookmarks, history and synced tabs"
cannot-delete-messages,Cannot delete messages
how-add-shortcut-website-android,Create a shortcut to a website on Firefox for Android
im-having-problems-confirming-my-firefox-account,I'm having problems confirming my Mozilla account
use-firefox-another-language,Use Firefox in another language
where-go-developer-support,Where to go for developer support
access-mozilla-services-firefox-account,Access Mozilla services with a Mozilla account
firefox-android-support-forum-contributors,Firefox for Android for Support Forum Contributors
angry-user-training,Angry User Training
frequently-asked-questions,Frequently Asked Questions
forget-button-quickly-delete-your-browsing-history,Forget button - quickly delete your browsing history on Firefox
firefox-crashes-asking-support,Firefox crashes - asking for support
navigate-support-forum-platform,How to navigate and use the support forum platform
customer-service-contributor-forum-skills,Customer Service Contributor Forum Skills
get-help-firefox-developer-edition,Get help with Firefox Developer Edition
manage-my-default-search-engines-firefox-android,Manage my default search engines in Firefox for Android
how-create-and-use-mailing-lists-thunderbird,How to create and use mailing lists on Thunderbird
enhanced-tracking-protection-firefox-android,Enhanced Tracking Protection in Firefox for Android
create-or-improve-common-forum-responses,Create or improve common forum responses
uninstall-firefox-android-add-ons,Uninstall Firefox for Android extensions
uninstall-firefox-android,Uninstall Firefox for Android
how-does-support-localization-work,How does support localization work?
translating-an-article,Translating an article
how-do-i-update-articles-after-their-first-translation,How do I update articles after their first translation?
enable-drm,Watch DRM content on Firefox
firefox-reader-view-clutter-free-web-pages,Firefox Reader View for clutter-free web pages
clear-your-browsing-history-firefox-android,Clear your browsing history in Firefox for Android
open-h264-plugin-firefox,Why is there an OpenH264 plugin in Firefox?
what-search-hijacking,What is search hijacking?
add-on-signing-in-firefox,Add-on signing in Firefox
how-add-remove-edit-and-move-bookmarks-firefox-ios,"How to add, remove, edit and move bookmarks in Firefox for iOS"
share-pages-firefox-other-browsers,Share pages with Firefox from other browsers
change-your-default-search-engine-firefox-ios,Change your default search engine in Firefox for iOS
practice-article-localize-this,Practice article for SUMO localizers (localize this)
installing-addon-thunderbird,Installing an Add-on in Thunderbird
maildir-thunderbird,Maildir in Thunderbird
avoid-and-report-mozilla-tech-support-scams,Avoid and report Mozilla tech support scams
web-pages-arent-displaying-properly-firefox-androi,Web pages aren't displaying properly in Firefox for Android
rate-your-firefox-experience-heartbeat,"Rate your Firefox experience, surveys and out of date messages (Heartbeat)"
add-or-remove-search-engine-firefox,Add or remove a search engine in Firefox
install-firefox-your-phone-or-tablet,Install Firefox on your phone or tablet
about-config-editor-firefox,Configuration Editor for Firefox
how-change-your-default-browser-firefox-windows,Make Firefox your default browser on Windows
thunderbird-and-logjam,Thunderbird and Logjam
search-suggestions-firefox,Search suggestions in Firefox
clear-browsing-history-firefox-ios,Clear browsing history in Firefox for iOS
enable-or-disable-search-engines-firefox-ios,Enable or disable search engines on Firefox for iOS
view-web-pages-reader-view-firefox-ios,View web pages in Reader View
add-web-pages-your-reading-list-firefox-ios,Add web pages to your Reading List on Firefox for iOS
install-firefox-your-ipad-iphone-or-ipod,"Install Firefox on your iPad, iPhone or iPod"
use-tabs-firefox-ios,Use tabs in Firefox for iOS
what-version-firefox-do-i-have-ios,Which version of Firefox am I using?
sync-bookmarks-tabs-history-and-passwords-android,"Sync bookmarks, tabs, history, and passwords on Android"
sync-bookmarks-logins-and-browsing-history-firefox,"Sync bookmarks, logins and browsing history on Firefox for iOS"
navigation-bar-firefox-ios,Navigation bar in Firefox for iOS
uninstall-firefox-ios,Uninstall Firefox for iOS
thunderbird-accessibility-features,Thunderbird Accessibility Features
manage-saved-login-information,Manage saved passwords in Firefox for Android
customize-firefox-home-ios,Customize Firefox Home on iOS
whats-new-august-31-2015-release,"What's new in the August 31, 2015 release?"
customize-firefox-home-screen,Customize the Firefox home screen
change-your-default-search-settings-firefox,Manage Firefox search settings
copy-saved-password-firefox-android,Copy a saved password in Firefox for Android
private-browsing-firefox-ios,About private browsing in Firefox for iOS
scan-qr-codes-firefox-android,Scan QR codes in Firefox for Android
voice-input-firefox-android,Voice input in Firefox for Android
mute-sound-firefox-tabs,Mute sound in Firefox tabs
site-information-panel,Site Information panel
sumo-living-localization-guide,SUMO Living Localization Guide
insecure-password-warning-firefox,Insecure connection password warning in Firefox
im-having-problems-my-firefox-account,I'm having problems with my Mozilla account
push-notifications-firefox,Web Push notifications in Firefox
firefox-focus-ios,What is Firefox Focus for iOS?
firefox-no-longer-available-download-t-store,Firefox is no longer available for download in the T-Store
what-does-your-connection-is-not-secure-mean,What do the security warning codes mean?
change-default-language-firefox-ios,Change the default language on Firefox for iOS
set-firefox-default-browser-ios,Set Firefox as the default browser for iOS
identify-noisy-tabs-firefox-android,Identify noisy tabs in Firefox for Android
fxa-managing-devices,Manage the devices linked to your Mozilla account
viewing-desktop-sites-firefox-ios,Viewing Desktop Sites on Firefox iOS
accessibility-and-ppt,Accessibility not available during multi-process support
send-text-or-multimedia-messages-firefox-android,Send text or multimedia messages from Firefox for Android
get-latest-version-thunderbird-windows-xp-vista,How can I get the latest version of Thunderbird on Windows XP or Vista?
search-within-web-page-firefox-ios,Search within a web page in Firefox for iOS
manage-saved-passwords-firefox-ios,Manage saved passwords in Firefox for iOS
error-codes-secure-websites,Troubleshoot security error codes on secure websites
staging-site,Staging Site
article-history,Article History
edit-knowledge-base-article,Edit a Knowledge Base article
article-description,Article Description
what-firefox-klar-ios,What is Firefox Klar for iOS?
how-do-i-tell-if-32-bit-or-64-bit,How do I tell if I have the 32-bit or 64-bit Firefox?
access-your-add-ons-firefox-accounts,Access your add-ons with a Mozilla account
article-discussion-forums,Article discussion forums
whats-new-firefox-android,What's new in Firefox for Android
article-status-and-change-type,Article status and change type
view-synced-tabs-other-devices,View synced tabs from other devices
using-knowledge-base-dashboard,Using the Knowledge Base Dashboard
set-passcode-and-touch-id-firefox,Set up a passcode and Face ID in Firefox for iOS
change-your-firefox-accounts-password,Change your Mozilla account password
suspicious-activity-my-firefox-account,Suspicious activity on my Mozilla account
troubleshoot-time-errors-secure-websites,Troubleshoot time-related errors on secure websites
add-firefox-today-view-your-ios-device,Add Firefox to the Today view on your iOS device
certificate-warnings-firefox-ios,Certificate warnings in Firefox for iOS
re-enable-multi-process-disabled-windows-utilities,Re-enable multi-process support disabled by Windows utilities
automatically-close-private-tabs-when-leaving-priv,Keep Private Browsing tabs open after exiting Firefox
set-homepage-firefox-ios,Set a homepage in Firefox for iOS
keyboard-shortcuts-firefox-ios,Keyboard shortcuts in Firefox for iOS
containers,Multi-Account Containers
i-found-fake-firefox-update,I found a fake Firefox update
add-ons-firefox-ios,Add-ons in Firefox for iOS
screenshare-safety,Share browser windows or your screen with sites you trust
using-primary-password-sync,Use a Primary Password with Sync
accounts-blocked,My sign in was blocked for security reasons on Mozilla account
message-tags,Message Tags - Categorize your email in Thunderbird
change-default-email-program-firefox-ios,Change the default email program in Firefox for iOS
npapi-plugins,"Why do Java, Silverlight, Adobe Acrobat and other plugins no longer work?"
end-support-windows-xp-and-vista,Firefox has ended support for Windows XP and Vista
advanced-panel-settings-in-thunderbird,"Advanced panel - System, network, updates, and other advanced settings in Thunderbird"
change-default-search-firefox-focus-ios,Change the default search in Firefox Focus on iOS
what-firefox-focus-android,What is Firefox Focus for Android?
set-firefox-focus-default-browser-android,Set Firefox Focus as default browser on Android
your-hardware-no-longer-supported-tb,Your hardware is no longer supported by Thunderbird
some-videos-wont-play-background,Some videos won't play in background
change-your-default-search-firefox-focus-android,Change your default search on Firefox Focus for Android
performance-settings,Firefox's performance settings
view-mobile-bookmarks-your-computer,View mobile bookmarks on your computer
firefox-focus-android-frequently-asked-questions,Firefox Focus for Android - Frequently asked questions
set-firefox-klar-your-default-browser-android,Set Firefox Klar as your default browser on Android
what-firefox-klar-android,What is Firefox Klar for Android?
change-your-default-search-firefox-klar-android,Change your default search on Firefox Klar for Android
firefox-klar-android-frequently-asked-questions,Firefox Klar for Android - Frequently asked questions
change-the-default-search-in-firefox-klar-on-ios,Change the default search in Firefox Klar on iOS
how-do-i-delete-my-firefox-account,How do I delete my Mozilla account?
storage,Manage local site storage settings
difference-between-firefox-focus-and-firefox-klar,"I can't find Firefox Focus in Germany, Austria or Switzerland"
64-bit-firefox-crashes-citrixs-xenapp-vm,64-bit Firefox crashes with Citrix's XenApp VM
take-screenshots-firefox,Take screenshots in Firefox
best-practices-answering-questions-support-forum,Best practices for answering questions in the Support Forum - Edits welcome!
scan-qr-codes-firefox-ios,Scan QR codes in Firefox for iOS
night-mode-firefox-ios,Website Dark Mode in Firefox for iOS
hide-images-firefox-ios,Hide Images in Firefox for iOS
send-tab-firefox-ios-another-device,Send a tab from Firefox for iOS to another device
thunderbird-osx,"Thunderbird support has ended for Mac OS X 10.6, 10.7 and 10.8"
attnadmin-how-community-can-reach-admin-and-when,[Attn Admin] How the community can reach an Admin and when you might want to
change-primary-email-address-firefox-accounts,Change the primary email address on your Mozilla account
how-update-add-ons,How to update add-ons
built-themes-firefox-alternative-complete-themes,Built-in themes in Firefox - alternative to complete themes
shield,About Studies
message-threading-thunderbird,Message threading in Thunderbird - keep messages grouped by conversation
automatically-fill-your-address-web-forms,Automatically fill in your address on web forms
open-new-private-tab-firefox-focus-android,Open a new private tab in Firefox Focus for Android
open-new-tab-firefox-klar,Open a new private tab in Firefox Klar
enhanced-tracking-protection-firefox-ios,Enhanced Tracking Protection in Firefox for iOS
i-cant-play-audio-remote-desktop-connection,I can’t play audio on a Remote Desktop Connection
set-firefox-lite-your-default-browser,Set Firefox Lite as your default browser
firefox-lite-turbo-mode,Firefox Lite Turbo Mode
capture-screenshots-using-firefox-lite,Capture screenshots using Firefox Lite
browse-faster-blocking-images-firefox-lite,Browse faster by blocking images in Firefox Lite
screenshots-problem-firefox-lite,I can't take screenshots of some websites on Firefox Lite
get-started-firefox-lite,Get started with Firefox Lite
clear-cache-without-clearing-browsing-history,Clear your cache without clearing your browsing history
connection-settings-firefox,Connection settings in Firefox
add-web-page-shortcuts-your-home-screen,Add web page shortcuts to your Home screen
